dimension,weight,importance
Healthcare,1.0,High importance
Defense,0.3148148148148148,Low importance
Education,0.2962962962962963,Low importance
Homeland Security,0.2222222222222222,Low importance
Foreign Policy,0.18518518518518517,Low importance
Tax Policy,0.1111111111111111,Low importance
Human Rights,0.1111111111111111,Low importance
Social Security,0.1111111111111111,Low importance
International Relations,0.09259259259259259,Low importance
Fiscal Policy,0.07407407407407407,Low importance
Economic Policy,0.07407407407407407,Low importance
Senior Citizens,0.05555555555555555,Low importance
Trade,0.05555555555555555,Low importance
Community Recognition,0.05555555555555555,Low importance
Infrastructure,0.05555555555555555,Low importance
National Security,0.05555555555555555,Low importance
Economy,0.05555555555555555,Low importance
