legislator_id,overall_ideology_score,ideology_label
cand826,-2.2625747208293876,Most Liberal
cand80,-2.0980549232239247,Liberal
cand765,-2.038727475611696,Liberal
cand788,-1.9708365162455288,Liberal
cand760,-1.9084771437906531,Liberal
cand578,-1.8975976934562095,Liberal
cand766,-1.766498756068029,Liberal
cand785,-1.7170811387720604,Liberal
cand203,-1.6678580484378627,Liberal
cand498,-1.5076748232845825,Liberal
cand1474,-1.2884006397231054,Liberal
cand889,-1.2845606333892448,Liberal
cand253,-1.2427951275818092,Liberal
cand1496,-1.2208845440355596,Liberal
cand1503,-1.024055463525468,Liberal
cand894,-0.9567853384675287,Liberal
cand776,-0.943747118255259,Liberal
cand584,-0.9343660282178549,Liberal
cand382,-0.9343660282171667,Liberal
cand513,-0.9113869896789146,Liberal
cand1252,-0.9020859926547234,Liberal
cand1198,-0.8976990362367198,Liberal
cand1425,-0.8045874284106886,Liberal
cand721,-0.7774165488497973,Liberal
cand230,-0.7630833726094722,Liberal
cand619,-0.7329685681637088,Liberal
cand1466,-0.6430358233563215,Liberal
cand1220,-0.6139663855493512,Liberal
cand310,-0.6009733871288191,Liberal
cand1526,-0.5611661581557934,Liberal
cand1455,-0.5092562747560713,Liberal
cand1471,-0.4610021762159646,Moderate
cand1458,-0.44463805949883556,Moderate
cand756,-0.4066543015462522,Moderate
cand495,-0.3888044051511804,Moderate
cand911,-0.3718306379287166,Moderate
cand1609,-0.35197077151144324,Moderate
cand856,-0.3471597671668554,Moderate
cand1235,-0.2986462344252677,Moderate
cand1622,-0.2268845188850479,Moderate
cand1323,-0.16972588160316837,Moderate
cand1244,-0.15911520962301628,Moderate
cand1443,-0.15646086870809206,Moderate
cand1637,-0.15646086869267195,Moderate
cand1230,-0.038527574743858456,Moderate
cand768,-0.01934532804884237,Moderate
cand886,0.006143690333686891,Moderate
cand719,0.012992405046333422,Moderate
cand1562,0.07722284442648467,Moderate
cand1435,0.0869439393690062,Moderate
cand607,0.1053124531295927,Moderate
cand396,0.155363963697218,Moderate
cand864,0.2414278751414884,Moderate
cand846,0.3040377153757052,Moderate
cand1424,0.30403771538069746,Moderate
cand1494,0.3278557224372217,Moderate
cand1465,0.33070888504761264,Moderate
cand1467,0.3656659247986873,Moderate
cand1237,0.3749217546685684,Moderate
cand774,0.40544730198473655,Moderate
cand408,0.4280214956667447,Moderate
cand601,0.46532462258285073,Moderate
cand222,0.48604398068689025,Moderate
cand868,0.5052322956022022,Conservative
cand1304,0.6291280275018936,Conservative
cand799,0.6519635087101632,Conservative
cand251,0.659575704854156,Conservative
cand667,0.697219665110602,Conservative
cand1288,0.7212447766230966,Conservative
cand1264,0.7667713252473323,Conservative
cand1389,0.7686491115035344,Conservative
cand351,0.7902765832256478,Conservative
cand1638,0.8015453211381035,Conservative
cand1349,0.824791536074915,Conservative
cand1413,0.8412649058171222,Conservative
cand194302,0.8780239697171541,Conservative
cand872,0.8794268133735667,Conservative
cand1255,0.9876165042894232,Conservative
cand880,0.9997059115695452,Conservative
cand837,1.0135987378594298,Conservative
cand1275,1.0174030894608455,Conservative
cand1265,1.0219353133544158,Conservative
cand885,1.032206208859245,Conservative
cand560,1.050373916259461,Conservative
cand770,1.081763199408694,Conservative
cand1477,1.1005467998776077,Conservative
cand625,1.1116169084383716,Conservative
cand107,1.1238136122926494,Conservative
cand884,1.1408123758325546,Conservative
cand730,1.1781296116834536,Conservative
cand1628,1.1781296116834539,Conservative
cand1449,1.2110000587654945,Conservative
cand1347,1.2673854749547147,Conservative
cand1340,1.3582664647597111,Conservative
cand1303,1.4010274195140344,Conservative
cand763,1.4031995535888626,Conservative
cand1543,1.5195186457565437,Conservative
cand921,1.5276551651661365,Conservative
cand890,1.5305140591420219,Conservative
cand1239,1.619644658826577,Most Conservative
